所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型
售后管理,验证编辑模式下点击新增明细后不填点击删除明细能不能删除成功,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑
3.点击新增明细
4.点击删除明细
5.点击保存",提示信息:请选择进行删除操作!,高,功能测试
售后管理,验证编辑模式下点击新增明细后不填点击取消操作能不能正确取消,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑
3.点击新增明细
4.点击取消
5.点击保存",可以取消,高,功能测试
售后管理,验证编辑模式下点击添加后什么也不选直接点击保存的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑
3.点击新增明细
4.点击保存",提示信息:请至少输入一个保修明细,高,功能测试
售后管理,验证编辑模式下点击新增明细后只填写保修时间能不能正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑
3.点击新增明细
4.选择保修时间
5.点击保存",提示信息:保修明细格式输入不正确,高,功能测试
售后管理,验证编辑模式下点击新增明细只填写是否解决问题能不能正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑
3.点击新增明细
4.保修内容
4.点击保存",提示信息:保修明细格式输入不正确,高,功能测试
售后管理,验证编辑模式下点击新增明细只填写保修内容能不能正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑
3.点击新增明细
4.选择保修时间和保修内容
5.点击保存",提示信息:保修明细格式输入不正确,高,功能测试
售后管理,验证编辑模式下点击新增明细填写保修时间和保修内容能不能正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑
3.点击新增明细
4.选择保修时间和保修内容
5.点击保存",提示信息:保修明细格式输入不正确,高,功能测试
售后管理,验证编辑模式下点击新增明细填写保修时间和是否解决问题能不能正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑
3.点击新增明细
4.保修时间和是否解决问题
5.点击保存",可以添加,高,功能测试
售后管理,验证点击新增明细填写保修内容和是否解决问题能不能正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑
3.点击新增明细
4.保修内容和是否解决问题
5.点击保存",提示信息:保修明细格式输入不正确,高,功能测试
售后管理,验证点击删除能不能删除成功,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.点击删除
2.点击刷新",查看显示是否正确,高,功能测试
售后管理,验证点击删除不选择客户能不能删除成功,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选择客户
2.点击删除
3.点击刷新",删除成功,高,功能测试
售后管理,验证界面显示是否正确,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修",查看界面每个功能是否完整,查看界面每个功能是否完整,高,功能测试
客户管理,验证正确填写客户信息的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入客户姓名:123
2.选择客户性别:男
3.输入年龄:20
4.输入电话:8208208820
5.输入邮箱:admin@123
6.输入qq:7758258
7.输入微信:123456
8.选择创建时间
9.选择客户状态:第一次
10.选择工作:公司职员
11.选择收入水平
12.选择营销人员
13选择客户来源
14.点击保存",添加成功,高,功能测试
客户管理,验证客户姓名不填的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入客户姓名不填
2.选择客户性别:男
3.输入年龄:20
4.输入电话:8208208820
5.输入邮箱:admin@123
6.输入qq:7758258
7.输入微信:123456
8.选择创建时间
9.选择客户状态:第一次
10.选择工作:公司职员
11.选择收入水平
12.选择营销人员
13选择客户来源
14.点击保存",请添加客户姓名,高,功能测试
客户管理,验证只填客户姓名的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入客户姓名
2.点击保存",还有必填项没有填写,高,功能测试
客户管理,验证只填客户年龄的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入客户年龄
2.点击保存",还有必填项没有填写,高,功能测试
客户管理,验证只填客户性别的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入客户性别
2.点击保存",还有必填项没有填写,高,功能测试
客户管理,验证只填写电话号码的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入电话号码
2.点击保存",还有必填项没有填写,高,功能测试
客户管理,验证不填的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.点击添加
2.点击保存",还有必填项没有填写,高,功能测试
客户管理,验证输入框有没有限制的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修",1.点击添加2.依次输入超过18的字符,添加失败,高,功能测试
客户管理,验证必填项不填其他选项都填的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入QQ邮箱
2.输入QQ
3.输入微信
4.选择客户状态
5.选择工作
6.选择收入水平
7.选择营销人员
8.选择客户来源",必填项没有填写添加失败,高,功能测试
客户管理,验证编辑模式下客户姓名不填的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入客户姓名不填
2.选择客户性别:男
3.输入年龄:20
4.输入电话:8208208820
5.输入邮箱:admin@123
6.输入qq:7758258
7.输入微信:123456
8.选择创建时间
9.选择客户状态:第一次
10.选择工作:公司职员
11.选择收入水平
12.选择营销人员
13选择客户来源
14.点击保存",请添加客户姓名,高,功能测试
客户管理,验证编辑模式下只填客户姓名的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入客户姓名
2.点击保存",还有必填项没有填写,高,功能测试
客户管理,验证编辑模式下只填客户年龄的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入客户年龄
2.点击保存",还有必填项没有填写,高,功能测试
客户管理,验证编辑模式下只填客户性别的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入客户性别
2.点击保存",还有必填项没有填写,高,功能测试
客户管理,验证编辑模式下只填写电话号码的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入电话号码
2.点击保存",还有必填项没有填写,高,功能测试
客户管理,验证编辑模式下不填的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.点击添加
2.点击保存",还有必填项没有填写,高,功能测试
客户管理,验证编辑模式下输入框有没有限制的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修",1.点击添加2.依次输入超过18的字符,添加失败,高,功能测试
客户管理,验证编辑模式下必填项不填其他选项都填的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入QQ邮箱
2.输入QQ
3.输入微信
4.选择客户状态
5.选择工作
6.选择收入水平
7.选择营销人员
8.选择客户来源",必填项没有填写添加失败,高,功能测试
客户管理,验证客户移交的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.点击客户
2.选择客户移交",正确移交,高,功能测试
客户管理,验证不选择客户点击客户移交是否有提示,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修",1.选择客户移交,系统提示:请选择客户,高,功能测试
客户管理,验证把客户放入资源池的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.点击客户
2.点击放入资源池",正确放入资源池,高,功能测试
客户管理,验证不选择客户放入资源池系统提示的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修",1.选择放入资源池,系统提示:请选中一行后再操作,高,功能测试
客户管理,验证把客户升级为正式客户的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.点击客户
2.点击升级正式客户",正确升级,高,功能测试
客户管理,验证不选择客户点击正式客户系统提示的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修",1.升级客户,系统提示:请选中一行后再操作,高,功能测试
客户管理,验证输入关键字年龄查询能不能正确查询,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入年龄
2.点击查询",可以查询,高,功能测试
客户管理,验证输入关键字为客户姓名能不能正确查询,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.输入客户姓名
2.点击查询",可以查询,高,功能测试
客户管理,验证点击高级查询只输入关键字能不能正确查询,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.点击高级查询
2.输入关键字
3.点击查询",可以查询,高,功能测试
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
